filepath,theta,phi,turbidity,exposure,elevation,fov
D://360 google/dashcam_illumination/train/2vxXILglc0RR6e4ScDt2iw_F.png,-106.94340814149321,81.51567123814259,4.000000,0.032959,-2.23,84.68
D://360 google/dashcam_illumination/train/2vxXILglc0RR6e4ScDt2iw_B.png,-106.94340814149317,87.83432876185755,4.000000,0.032959,8.42,70.84
D://360 google/dashcam_illumination/train/2w9Hp9RD6mYDm_ADGfmIuA_F.png,-110.43504223990624,53.180340951035724,3.500000,0.054871,7.04,88.37
D://360 google/dashcam_illumination/train/2w9Hp9RD6mYDm_ADGfmIuA_B.png,69.56495776009376,36.46034095103571,3.500000,0.054871,-9.68,79.05
D://360 google/dashcam_illumination/train/2Wfrzcknzw6dr72PWm7fHw_F.png,159.09235592365246,60.925326920750834,3.500000,0.048006,1.89,93.54
D://360 google/dashcam_illumination/train/2Wfrzcknzw6dr72PWm7fHw_B.png,-20.907644076347562,66.80532692075083,3.500000,0.048006,7.77,61.97
D://360 google/dashcam_illumination/train/2WI9HxPHeki5HPzAVW7QmA_F.png,179.26399277066267,67.45249852166837,4.500000,0.033855,1.88,86.07
D://360 google/dashcam_illumination/train/2WI9HxPHeki5HPzAVW7QmA_B.png,-0.7360072293373613,69.5424985216684,4.500000,0.033855,3.97,66.26
D://360 google/dashcam_illumination/train/2xdJzSNGEkf-uSzGgZ8_Qw_F.png,6.545511243867393,43.91714093289097,3.500000,0.043029,-8.6,89.17
D://360 google/dashcam_illumination/train/2xdJzSNGEkf-uSzGgZ8_Qw_B.png,-173.4544887561326,48.657140932891,3.500000,0.043029,-3.86,77.0
D://360 google/dashcam_illumination/train/2Xnu5DNaQgkBLGfL-QPRSw_F.png,-33.26726806407613,49.41734884754407,3.500000,0.049090,-9.62,73.91
D://360 google/dashcam_illumination/train/2Xnu5DNaQgkBLGfL-QPRSw_B.png,146.73273193592388,54.53734884754409,3.500000,0.049090,-4.5,78.47
D://360 google/dashcam_illumination/train/2y8zViL15qEid3bh7JgGPQ_F.png,-156.0935633985672,81.13203168251192,4.000000,0.033894,4.72,97.61
D://360 google/dashcam_illumination/train/2y8zViL15qEid3bh7JgGPQ_B.png,23.906436601432826,85.49203168251188,4.000000,0.033894,9.08,71.3
D://360 google/dashcam_illumination/train/2yb24bJH4_rvrTRixIZvZQ_F.png,-58.32355921949759,71.84878749233215,4.500000,0.033787,-0.34,88.98
D://360 google/dashcam_illumination/train/2yb24bJH4_rvrTRixIZvZQ_B.png,121.67644078050245,64.24878749233214,4.500000,0.033787,-7.94,78.52
D://360 google/dashcam_illumination/train/2yCT4SOokXE68SbnhHnpEQ_F.png,48.36179717678742,73.81761337810266,4.500000,0.027413,4.11,93.97
D://360 google/dashcam_illumination/train/2yCT4SOokXE68SbnhHnpEQ_B.png,-131.6382028232126,69.8676133781027,4.500000,0.027413,0.16,63.8
D://360 google/dashcam_illumination/train/2YiPmDbwVOfWpIOzIb6q7w_F.png,-127.58481364455763,81.22816623630779,4.000000,0.036182,3.82,85.72
D://360 google/dashcam_illumination/train/2YiPmDbwVOfWpIOzIb6q7w_B.png,52.41518635544237,82.63816623630778,4.000000,0.036182,5.23,84.7
D://360 google/dashcam_illumination/train/2YLHXmR0LY9jJAL3R1WwEw_F.png,-8.942799662129822,56.046482279394915,3.500000,0.042430,-6.32,90.99
D://360 google/dashcam_illumination/train/2YLHXmR0LY9jJAL3R1WwEw_B.png,171.0572003378702,53.626482279394935,3.500000,0.042430,-8.74,82.17
D://360 google/dashcam_illumination/train/2z6_5RzlyiZqVb4ozBoIWw_F.png,-161.1334215490617,78.92846239874187,4.500000,0.031798,3.05,97.64
D://360 google/dashcam_illumination/train/2z6_5RzlyiZqVb4ozBoIWw_B.png,18.86657845093831,79.48846239874185,4.500000,0.031798,3.61,91.79
D://360 google/dashcam_illumination/train/2ZdG3Eo6lf-RAcuRaR0KgQ_F.png,-10.26363984439252,62.90320452407075,3.500000,0.049914,-1.17,88.63
D://360 google/dashcam_illumination/train/2ZdG3Eo6lf-RAcuRaR0KgQ_B.png,169.73636015560749,67.57320452407075,3.500000,0.049914,3.5,78.37
D://360 google/dashcam_illumination/train/2ZQVzd-NJobSKMOZHkr39g_F.png,171.40649833312025,61.99586858346401,4.500000,0.028402,-5.73,84.11
D://360 google/dashcam_illumination/train/2ZQVzd-NJobSKMOZHkr39g_B.png,-8.593501666879764,73.24586858346399,4.500000,0.028402,5.52,89.8
D://360 google/dashcam_illumination/train/2ZSrFMuEK0lYuTtSqauI7A_F.png,72.25308820886077,68.26269853602784,4.500000,0.030253,5.4,75.38
D://360 google/dashcam_illumination/train/2ZSrFMuEK0lYuTtSqauI7A_B.png,-107.74691179113924,60.10269853602782,4.500000,0.030253,-2.76,93.53
D://360 google/dashcam_illumination/train/2_-Q8xCu7zsRA3yZ78tjkQ_F.png,177.7474874164668,57.79188985139797,3.500000,0.040214,-5.79,64.71
D://360 google/dashcam_illumination/train/2_-Q8xCu7zsRA3yZ78tjkQ_B.png,-2.2525125835331963,68.95188985139798,3.500000,0.040214,5.37,94.77
D://360 google/dashcam_illumination/train/2_5qqlMfcjV_qv8ZfaY1sg_F.png,-23.977179402341555,68.00439064008047,3.000000,0.051130,5.86,78.46
D://360 google/dashcam_illumination/train/2_5qqlMfcjV_qv8ZfaY1sg_B.png,156.02282059765844,58.26439064008047,3.000000,0.051130,-3.88,94.83
D://360 google/dashcam_illumination/train/2_7EFPxh6jPHxbs2F3WArg_F.png,151.41074169698237,55.36231518940824,4.000000,0.047554,-7.96,87.83
D://360 google/dashcam_illumination/train/2_7EFPxh6jPHxbs2F3WArg_B.png,-28.589258303017633,59.81231518940821,4.000000,0.047554,-3.51,69.18
D://360 google/dashcam_illumination/train/2_cdtOMSWoMB5iFD3C653A_F.png,-143.713385174778,40.15560042849724,2.000000,0.041212,8.24,78.04
D://360 google/dashcam_illumination/train/2_cdtOMSWoMB5iFD3C653A_B.png,36.28661482522199,35.275600428497235,2.000000,0.041212,3.36,90.13
D://360 google/dashcam_illumination/train/2_frMXF1IQZQncRriVqMXA_F.png,-131.88164456126336,34.691293813575996,3.000000,0.033532,0.66,66.92
D://360 google/dashcam_illumination/train/2_frMXF1IQZQncRriVqMXA_B.png,48.11835543873664,40.74129381357599,3.000000,0.033532,6.71,74.91
D://360 google/dashcam_illumination/train/3-lLWYOiKFGbxGvNvAi-rg_F.png,-78.0679217291735,41.63419359668174,3.500000,0.031687,-1.26,61.1
D://360 google/dashcam_illumination/train/3-lLWYOiKFGbxGvNvAi-rg_B.png,101.9320782708265,51.624193596681714,3.500000,0.031687,8.73,86.94
D://360 google/dashcam_illumination/train/3-ntsslwpdhjmtjxfCwUXQ_F.png,-91.52734241006813,59.51298581977681,5.500000,0.030297,-2.1,75.61
D://360 google/dashcam_illumination/train/3-ntsslwpdhjmtjxfCwUXQ_B.png,88.47265758993188,53.74298581977683,5.500000,0.030297,-7.87,80.91
D://360 google/dashcam_illumination/train/3-Q47_tRAG78jXeRmeOZuw_F.png,-64.3338607318099,58.14196597176495,4.500000,0.029816,-2.46,89.38
D://360 google/dashcam_illumination/train/3-Q47_tRAG78jXeRmeOZuw_B.png,115.6661392681901,66.93196597176495,4.500000,0.029816,6.33,66.7
D://360 google/dashcam_illumination/train/302f2sAtK47EKz6T26uMgA_F.png,65.93798605334925,78.14760906164301,3.500000,0.038243,-5.16,87.25
D://360 google/dashcam_illumination/train/302f2sAtK47EKz6T26uMgA_B.png,-114.06201394665078,78.937609061643,3.500000,0.038243,-4.37,97.04
D://360 google/dashcam_illumination/train/305D2BLvYcuAbyfAfaEhEQ_F.png,-41.33071914330165,51.52419315615101,3.500000,0.045618,-0.33,61.29
D://360 google/dashcam_illumination/train/305D2BLvYcuAbyfAfaEhEQ_B.png,138.66928085669838,48.584193156150995,3.500000,0.045618,-3.27,86.25
D://360 google/dashcam_illumination/train/30MA43xaWgtYRq9Gq_G6IA_F.png,85.42540974714794,63.064506835047226,4.500000,0.029033,6.09,85.83
D://360 google/dashcam_illumination/train/30MA43xaWgtYRq9Gq_G6IA_B.png,-94.57459025285209,47.924506835047225,4.500000,0.029033,-9.05,82.21
D://360 google/dashcam_illumination/train/30pZz1mWHVhhHW_4KyVyGw_F.png,-68.6700594436652,59.583665238543034,4.500000,0.031365,-2.01,99.34
D://360 google/dashcam_illumination/train/30pZz1mWHVhhHW_4KyVyGw_B.png,111.32994055633482,67.54366523854307,4.500000,0.031365,5.95,85.79
D://360 google/dashcam_illumination/train/30vpo5blt4qxh2dU8WwuXA_F.png,-178.25719307536784,57.66579562380706,4.000000,0.040507,-4.7,86.35
D://360 google/dashcam_illumination/train/30vpo5blt4qxh2dU8WwuXA_B.png,1.7428069246321518,71.70579562380703,4.000000,0.040507,9.34,73.69
D://360 google/dashcam_illumination/train/31iupXEaAriQAt2QnX7WjA_F.png,-179.95868337785947,78.29876662112706,4.000000,0.031584,-0.77,67.95
D://360 google/dashcam_illumination/train/31iupXEaAriQAt2QnX7WjA_B.png,0.04131662214052941,84.81876662112708,4.000000,0.031584,5.75,73.65
D://360 google/dashcam_illumination/train/31vp0qi-73nYQSGiwce7AQ_F.png,57.43676207139849,68.76472274841022,4.500000,0.029184,-7.69,97.07
D://360 google/dashcam_illumination/train/31vp0qi-73nYQSGiwce7AQ_B.png,-122.56323792860155,86.17472274841028,4.500000,0.029184,9.72,96.82
D://360 google/dashcam_illumination/train/32d8zZGA_7qH14YR_M3qrA_F.png,152.74446564973286,48.447945899695014,3.500000,0.046573,-9.68,65.44
D://360 google/dashcam_illumination/train/32d8zZGA_7qH14YR_M3qrA_B.png,-27.255534350267155,52.45794589969499,3.500000,0.046573,-5.67,66.17
D://360 google/dashcam_illumination/train/32dKOOk_Ms2thLbE36J0xQ_F.png,-160.97904968674464,51.22553732917215,3.000000,0.040643,5.5,98.86
D://360 google/dashcam_illumination/train/32dKOOk_Ms2thLbE36J0xQ_B.png,19.02095031325535,37.405537329172155,3.000000,0.040643,-8.32,62.1
D://360 google/dashcam_illumination/train/32HAoFic6rrdeBREARsMDA_F.png,109.37742198164307,36.119974035697425,3.500000,0.053224,-6.1,66.0
D://360 google/dashcam_illumination/train/32HAoFic6rrdeBREARsMDA_B.png,-70.62257801835693,39.67997403569742,3.500000,0.053224,-2.54,68.33
D://360 google/dashcam_illumination/train/32snENV47VJoe7vIFweU0g_F.png,-107.91064248259211,39.44581338888816,4.000000,0.038824,-7.86,86.79
D://360 google/dashcam_illumination/train/32snENV47VJoe7vIFweU0g_B.png,72.08935751740789,47.71581338888815,4.000000,0.038824,0.41,96.97
D://360 google/dashcam_illumination/train/341gFx4RbL8y5BCtvrFNEg_F.png,31.244456223113378,75.53536958540464,4.000000,0.037392,-3.31,67.22
D://360 google/dashcam_illumination/train/341gFx4RbL8y5BCtvrFNEg_B.png,-148.75554377688664,70.40536958540469,4.000000,0.037392,-8.44,88.68
D://360 google/dashcam_illumination/train/34jaXLRDmrocrIIHKFff6g_F.png,-92.9329386399757,64.72486405866188,4.500000,0.029570,1.44,64.9
D://360 google/dashcam_illumination/train/34jaXLRDmrocrIIHKFff6g_B.png,87.0670613600243,64.68486405866187,4.500000,0.029570,1.4,81.4
D://360 google/dashcam_illumination/train/34UbWM8yH6DhpeP5m_W9dA_F.png,-37.20769443840894,37.653967904408624,2.500000,0.049558,1.07,75.67
D://360 google/dashcam_illumination/train/34UbWM8yH6DhpeP5m_W9dA_B.png,142.79230556159106,34.233967904408615,2.500000,0.049558,-2.35,89.84
D://360 google/dashcam_illumination/train/36AmW_ZcFFZZV06rgMCW4g_F.png,130.53974789694752,57.59138853386132,4.000000,0.031450,2.87,71.82
D://360 google/dashcam_illumination/train/36AmW_ZcFFZZV06rgMCW4g_B.png,-49.46025210305252,50.58138853386131,4.000000,0.031450,-4.14,95.95
D://360 google/dashcam_illumination/train/36D9AOK8jZFfIzwTGoBoNA_F.png,-177.78923831993356,48.583472426144326,4.000000,0.030063,0.95,66.11
D://360 google/dashcam_illumination/train/36D9AOK8jZFfIzwTGoBoNA_B.png,2.2107616800664522,47.02347242614433,4.000000,0.030063,-0.61,66.64
D://360 google/dashcam_illumination/train/38oANPk2zHEABvLaxDGPvw_F.png,143.48580930369425,59.665820324545805,3.500000,0.050158,-2.47,71.27
D://360 google/dashcam_illumination/train/38oANPk2zHEABvLaxDGPvw_B.png,-36.51419069630577,55.5358203245458,3.500000,0.050158,-6.6,66.37
D://360 google/dashcam_illumination/train/3a9iN4UDw94xo8fCRDZcrQ_F.png,12.261531552655603,61.568610831530734,3.500000,0.045552,-2.01,82.05
D://360 google/dashcam_illumination/train/3a9iN4UDw94xo8fCRDZcrQ_B.png,-167.7384684473444,59.68861083153074,3.500000,0.045552,-3.89,84.23
D://360 google/dashcam_illumination/train/3aOltLaTpKJcQsHFqqPqIQ_F.png,171.81428416799938,81.4787871682187,4.500000,0.027158,-0.68,80.89
D://360 google/dashcam_illumination/train/3aOltLaTpKJcQsHFqqPqIQ_B.png,171.81428416799935,88.73121283178124,4.500000,0.027158,9.11,65.52
D://360 google/dashcam_illumination/train/3b2zgEr8Pb0JH9X8YRPdvg_F.png,168.6671392326923,57.5994293198551,3.500000,0.044183,5.22,95.96
D://360 google/dashcam_illumination/train/3b2zgEr8Pb0JH9X8YRPdvg_B.png,-11.332860767307706,55.289429319855074,3.500000,0.044183,2.91,77.62
D://360 google/dashcam_illumination/train/3bQSZFtAofuI-aGprrkseQ_F.png,-177.9372175880669,69.14500296980759,4.500000,0.033601,-7.72,68.94
D://360 google/dashcam_illumination/train/3bQSZFtAofuI-aGprrkseQ_B.png,2.062782411933135,78.92500296980757,4.500000,0.033601,2.06,94.37
D://360 google/dashcam_illumination/train/3bvU8YeHHEYpp9TiVz4sSg_F.png,104.32567763621286,63.92874255071119,4.000000,0.036475,2.66,82.31
D://360 google/dashcam_illumination/train/3bvU8YeHHEYpp9TiVz4sSg_B.png,-75.67432236378716,64.8787425507112,4.000000,0.036475,3.61,66.93
D://360 google/dashcam_illumination/train/3cu1I7VaVCVfkoc1240txA_F.png,-143.9591066708602,42.42519424969439,4.000000,0.041252,-8.9,60.22
D://360 google/dashcam_illumination/train/3cu1I7VaVCVfkoc1240txA_B.png,36.04089332913979,54.985194249694416,4.000000,0.041252,3.66,94.11
D://360 google/dashcam_illumination/train/3d23_MI-_wfBD2hNCDBSzw_F.png,-18.85029820955452,63.54943638213335,3.000000,0.054795,0.73,83.85
D://360 google/dashcam_illumination/train/3d23_MI-_wfBD2hNCDBSzw_B.png,161.14970179044548,69.83943638213334,3.000000,0.054795,7.02,89.46
D://360 google/dashcam_illumination/train/3dIienOnCX3k-oDi2HeKYg_F.png,-67.3254701805878,71.84077309379886,4.500000,0.031110,-6.52,73.97
D://360 google/dashcam_illumination/train/3dIienOnCX3k-oDi2HeKYg_B.png,112.6745298194122,83.37077309379877,4.500000,0.031110,5.01,82.91
D://360 google/dashcam_illumination/train/3dZ8XiBUPx_6SCB8S1soDg_F.png,-105.55091890244381,46.624760151332644,3.500000,0.039673,1.99,74.47
D://360 google/dashcam_illumination/train/3dZ8XiBUPx_6SCB8S1soDg_B.png,74.44908109755619,51.20476015133266,3.500000,0.039673,6.57,77.85
D://360 google/dashcam_illumination/train/3FrGNH8ZgUn2CeDc7zj23w_F.png,-167.32744162817733,30.186076190011473,2.500000,0.048228,-9.5,95.88
D://360 google/dashcam_illumination/train/3FrGNH8ZgUn2CeDc7zj23w_B.png,12.672558371822685,45.65607619001147,2.500000,0.048228,5.97,78.3
D://360 google/dashcam_illumination/train/3FzqYF0rGEyqkoD8oc04IA_F.png,-24.876145834529474,70.09733516455994,3.500000,0.038927,-5.59,66.5
D://360 google/dashcam_illumination/train/3FzqYF0rGEyqkoD8oc04IA_B.png,155.12385416547056,71.33733516455999,3.500000,0.038927,-4.35,66.31
D://360 google/dashcam_illumination/train/3g1_KemqfUkXlodVtW1cxg_F.png,34.08476281159652,51.32069267800296,4.000000,0.034706,-6.83,95.41
D://360 google/dashcam_illumination/train/3g1_KemqfUkXlodVtW1cxg_B.png,-145.9152371884035,61.78069267800297,4.000000,0.034706,3.63,99.7
D://360 google/dashcam_illumination/train/3GNKGaXhbxhljLyRPYTbZg_F.png,57.75613707715521,73.79907997441364,4.000000,0.035094,-3.07,71.83
D://360 google/dashcam_illumination/train/3GNKGaXhbxhljLyRPYTbZg_B.png,-122.2438629228448,75.10907997441365,4.000000,0.035094,-1.76,70.15
D://360 google/dashcam_illumination/train/3H-XoZ3snPUkCtrlNFd4Ng_F.png,-154.2537144905899,50.79357715394464,2.500000,0.043944,9.06,71.39
D://360 google/dashcam_illumination/train/3H-XoZ3snPUkCtrlNFd4Ng_B.png,25.746285509410075,50.78357715394464,2.500000,0.043944,9.05,86.99
D://360 google/dashcam_illumination/train/3hgu-ep2WC3_RBq5ZRgm8g_F.png,135.8532942880564,51.869588998057985,3.500000,0.046609,-4.84,83.86
D://360 google/dashcam_illumination/train/3hgu-ep2WC3_RBq5ZRgm8g_B.png,-44.14670571194362,64.70958899805795,3.500000,0.046609,8.0,68.02
D://360 google/dashcam_illumination/train/3HLqr17JUBMi7_uPAsfVuQ_F.png,178.08689564677204,50.01304699355982,3.500000,0.050790,-9.41,92.03
D://360 google/dashcam_illumination/train/3HLqr17JUBMi7_uPAsfVuQ_B.png,-1.9131043532279826,53.683046993559834,3.500000,0.050790,-5.74,73.72
D://360 google/dashcam_illumination/train/3HmzwlXBZE8gObhfvJaKEw_F.png,-36.7510835208464,65.93325634278254,5.500000,0.023046,2.64,78.15
D://360 google/dashcam_illumination/train/3HmzwlXBZE8gObhfvJaKEw_B.png,143.2489164791536,55.22325634278252,5.500000,0.023046,-8.07,87.68
D://360 google/dashcam_illumination/train/3HPgYn693AhmVTWAfySTfg_F.png,137.92300539487192,37.49290216154457,2.500000,0.053973,-2.51,63.48
D://360 google/dashcam_illumination/train/3HPgYn693AhmVTWAfySTfg_B.png,-42.0769946051281,46.442902161544566,2.500000,0.053973,6.44,62.68
D://360 google/dashcam_illumination/train/3HWdx7ZgOXH9ge4QEKvinQ_F.png,-59.95308439489463,51.276200396285276,4.500000,0.030356,-0.6,87.55
D://360 google/dashcam_illumination/train/3HWdx7ZgOXH9ge4QEKvinQ_B.png,120.04691560510537,51.99620039628528,4.500000,0.030356,0.12,61.9
D://360 google/dashcam_illumination/train/3Ie9VajqHrTc19by0Nk2hQ_F.png,-109.49287622069744,59.30791116568033,4.500000,0.030637,-0.97,60.94
D://360 google/dashcam_illumination/train/3Ie9VajqHrTc19by0Nk2hQ_B.png,70.50712377930256,52.107911165680314,4.500000,0.030637,-8.17,92.12
D://360 google/dashcam_illumination/train/3IJ6vFy6g3sWTXxomgUgfw_F.png,-60.504418279386975,58.04143167901298,4.500000,0.030111,-1.41,70.42
D://360 google/dashcam_illumination/train/3IJ6vFy6g3sWTXxomgUgfw_B.png,119.49558172061302,61.91143167901296,4.500000,0.030111,2.46,91.85
D://360 google/dashcam_illumination/train/3J7wOyHvjdaiJhOWwkocIQ_F.png,-69.94631217953736,62.641720003588844,4.500000,0.038380,-5.65,96.01
D://360 google/dashcam_illumination/train/3J7wOyHvjdaiJhOWwkocIQ_B.png,110.05368782046264,58.34172000358886,4.500000,0.038380,-9.95,99.04
D://360 google/dashcam_illumination/train/3jcPlIMHj7jbUf9QkvB3eg_F.png,78.00079631115973,54.16029952584798,4.000000,0.034517,-1.04,83.72
D://360 google/dashcam_illumination/train/3jcPlIMHj7jbUf9QkvB3eg_B.png,-101.99920368884028,65.18029952584799,4.000000,0.034517,9.98,94.68
D://360 google/dashcam_illumination/train/3JLi78S_PBShQcgeD994Ag_F.png,-136.2314909835604,43.3566487153324,3.500000,0.035296,-4.35,95.88
D://360 google/dashcam_illumination/train/3JLi78S_PBShQcgeD994Ag_B.png,43.7685090164396,49.386648715332406,3.500000,0.035296,1.68,61.11
D://360 google/dashcam_illumination/train/3JMMaxqtsR3x9c_VO_WDdQ_F.png,33.115060018072995,47.39387131750671,3.500000,0.040438,-0.55,61.79
D://360 google/dashcam_illumination/train/3JMMaxqtsR3x9c_VO_WDdQ_B.png,-146.884939981927,57.6138713175067,3.500000,0.040438,9.67,60.97
D://360 google/dashcam_illumination/train/3jReREi70RrgkQ0ePh92dg_F.png,-124.05615931050282,54.168633763269064,3.500000,0.039985,9.82,65.77
D://360 google/dashcam_illumination/train/3jReREi70RrgkQ0ePh92dg_B.png,55.943840689497186,49.57863376326907,3.500000,0.039985,5.23,77.68
D://360 google/dashcam_illumination/train/3JXsrxjJR14NQVlTmsGJSw_F.png,-174.48385709229373,51.24538798341977,3.500000,0.046205,-5.46,98.59
D://360 google/dashcam_illumination/train/3JXsrxjJR14NQVlTmsGJSw_B.png,5.516142907706261,51.52538798341976,3.500000,0.046205,-5.18,96.76
D://360 google/dashcam_illumination/train/3k39TBR4ok7Q90hYUJvivQ_F.png,-110.5716926313159,40.959010213856935,4.000000,0.039572,-5.18,72.35
D://360 google/dashcam_illumination/train/3k39TBR4ok7Q90hYUJvivQ_B.png,69.4283073686841,49.999010213856955,4.000000,0.039572,3.86,84.46
D://360 google/dashcam_illumination/train/3KvsgVLvndRGTMskClvpzQ_F.png,-130.80909312976303,53.69418844317777,4.000000,0.032904,0.13,75.61
D://360 google/dashcam_illumination/train/3KvsgVLvndRGTMskClvpzQ_B.png,49.190906870236965,50.85418844317778,4.000000,0.032904,-2.71,98.37
D://360 google/dashcam_illumination/train/3kygG0oEBAi2Zvh-adrgFA_F.png,-113.34477408003876,47.276170654346664,3.000000,0.045651,5.65,66.78
D://360 google/dashcam_illumination/train/3kygG0oEBAi2Zvh-adrgFA_B.png,66.65522591996125,45.78617065434669,3.000000,0.045651,4.16,82.61
